fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000241	MMT00032382	0.14136035421842	undirected	NA	Lgals9
MMT00000241	MMT00032408	0.023621778631938	undirected	NA	AW125753
MMT00000241	MMT00033024	0.104790387243949	undirected	NA	Parva
MMT00000241	MMT00034063	0.020756486392507	undirected	NA	2400003B06Rik
MMT00000241	MMT00034267	0.405752164446828	undirected	NA	NA
MMT00000241	MMT00034282	0.408059705337428	undirected	NA	NA
MMT00000241	MMT00034400	0.120892406936492	undirected	NA	Eno1
MMT00000241	MMT00034425	0.0528972368532064	undirected	NA	Arf1
MMT00000241	MMT00035731	0.0521371777312176	undirected	NA	BC004004
MMT00000241	MMT00036879	0.114383745235651	undirected	NA	Arf4
MMT00000241	MMT00037650	0.43893540131134	undirected	NA	NA
MMT00000241	MMT00038312	0.156658634400277	undirected	NA	2610036N15Rik
MMT00000241	MMT00038325	0.206771900312972	undirected	NA	NA
MMT00000241	MMT00039562	0.393265613469914	undirected	NA	3000002C10Rik
MMT00000241	MMT00039830	0.242419095331817	undirected	NA	NA
MMT00000241	MMT00039993	0.281208570723716	undirected	NA	NA
MMT00000241	MMT00040162	0.0234682412460402	undirected	NA	Timeless
MMT00000241	MMT00040427	0.0358090393547157	undirected	NA	Apg4c
MMT00000241	MMT00040453	0.264422475569247	undirected	NA	NA
MMT00000241	MMT00041434	0.364829888842296	undirected	NA	NA
MMT00000241	MMT00041801	0.0329581299561255	undirected	NA	Ywhaz
MMT00000241	MMT00041879	0.0200225022751935	undirected	NA	Catns
MMT00000241	MMT00042783	0.44388092931086	undirected	NA	NA
MMT00000241	MMT00043194	0.293364556631962	undirected	NA	NA
MMT00000241	MMT00043490	0.364664293359116	undirected	NA	NA
MMT00000241	MMT00043907	0.352486813614602	undirected	NA	NA
MMT00000241	MMT00044275	0.341293994650572	undirected	NA	LOC14433
MMT00000241	MMT00044818	0.433207550145476	undirected	NA	NA
MMT00000241	MMT00045085	0.0252326534094555	undirected	NA	NA
MMT00000241	MMT00045090	0.0667405064685449	undirected	NA	Gstm1
MMT00000241	MMT00046067	0.114395876156227	undirected	NA	Eno1
MMT00000241	MMT00046393	0.31669210618619	undirected	NA	NA
MMT00000241	MMT00046492	0.0275251657794826	undirected	NA	Tapbp
MMT00000241	MMT00046946	0.0881141670766037	undirected	NA	Gpi1
MMT00000241	MMT00047022	0.0257646341572742	undirected	NA	NA
MMT00000241	MMT00047381	0.396542876768318	undirected	NA	NA
MMT00000241	MMT00047901	0.269871143021688	undirected	NA	LOC14433
MMT00000241	MMT00048272	0.154858295166946	undirected	NA	LOC14433
