nodeName	altName	nodeAttr[nodesPresent, ]
MMT00074600	NA	blue
MMT00075271	NA	blue
MMT00075327	Eno1	blue
MMT00075384	NA	blue
MMT00075578	NA	blue
MMT00075628	NA	blue
MMT00075673	Eva	blue
MMT00075896	1810044O22Rik	blue
MMT00075927	Scpep1	blue
MMT00075932	Sfrs1	blue
MMT00075993	Mylc2pl	blue
MMT00076860	NA	blue
MMT00077065	Ptp4a1	blue
MMT00077385	Glul	blue
MMT00077423	Rassf1	blue
MMT00077659	Gale	blue
MMT00077774	Gstm1	blue
MMT00077983	Prosc	blue
MMT00078546	Pfkfb1	blue
MMT00078566	NA	blue
MMT00078657	Cts7	blue
MMT00078909	NA	blue
MMT00079592	Mlf2	blue
MMT00079617	NA	blue
MMT00079885	Fgfr4	blue
MMT00080578	D10Jhu81e	blue
MMT00081013	NA	blue
MMT00081203	Oprs1	blue
MMT00081299	Gapds	blue
MMT00082255	Cs	blue
MMT00082316	NA	blue
MMT00082677	Gbe1	blue
